threshold_ok,accuracy,defective_recall,defective_precision,missed_defective_parts,acceptable_parts_flagged,correctly_detected_defects,correctly_accepted_parts
0.5,0.9384615384615385,0.9580573951434879,0.9455337690631809,19,25,434,237
0.55,0.9300699300699301,0.9690949227373068,0.9242105263157895,14,36,439,226
0.6,0.9146853146853147,0.9713024282560706,0.9016393442622951,13,48,440,214
0.65,0.9034965034965035,0.9735099337748344,0.8855421686746988,12,57,441,205
0.7,0.9006993006993007,0.9867549668874173,0.873046875,6,65,447,197
